content_seg_augmented	label
环球网 平坦 徐璐明 美国 军事 网站 WeAretheMighty5 报道 俄罗斯 打造 新型 新型 怪物 地效 飞行器 报道 俄罗斯 南非 大使馆 一条 推特 050 VD 地效 飞行器 计划 2020 投入使用 飞行器 苏联 冷战 时期 研发 里海 怪物 一种 舰员 搭载 独特 飞行 载具 里海 怪物 地效 飞行器 106 翼展 起飞 重量 500 配置 海鸥 涡喷 发动机 动力 新型 背上 搭载 SS 白蛉 超音速反舰导弹 火力 强大 最新型 气垫船 海鸥 地效 飞行器 材料 重约 飞机 数百名 士兵 货物 借助 里海 航空 发动机 海鸥 地效 飞行器 水面 冰面 报道 草原 加速 小时 450 公里 航程 超过 5000 公里 此前 俄罗斯 媒体 新型 地效 飞行器 安装 布拉莫斯 巡航导弹 另据 俄罗斯 卫星 通讯社 报道 俄罗斯 工业 指出 丹尼斯 曼图 罗夫 此前 俄罗斯 研发 一款 携带 导弹 新型 地效 飞行器 贸易部长 地效 飞行器 用于 保护 北方 海路 黑海 里海 地区 巡逻 地效 飞行器 飞机 舰船 气垫船 之间 一种 其机 高速 飞行器 飞机 效应 飞行器 地效 飞行 贴近 地面 水面 飞行 飞机 地效 飞行 气垫船 050 动力 气垫 地效 飞行器 地面 地效 气垫	6
反之亦然 网王 世纯 美军 推进 新兴国家 竞争市场 战略 美国 对外 军事 介入 急先锋 海军陆战队 迎来 一轮 激进 改革 美国 海军陆战队 司令 发布 一份 官方 新闻稿 公开 未来 转型 可行性研究 海军陆战队 司令 开支 削减 作战 对手 美国 海军陆战队 2030 军力 结构 裁撤 坦克部队 绝大部分 炮兵 步兵 航空兵 转型 有利于 水面舰艇 立体 投送 轻装 部队 增编 导弹部队 无人机 先进设备 应对 领域 作战 未来 精简 水面舰艇 陆战队 专注 主岛 夺控 水面舰艇 投送 区域拒止 用于 2030 年代 对抗中国 美国 海军陆战队 师属 坦克 坦克 全球性 投送 占用 衰老 海军 母舰 宝贵 运力 图源 USNI 美国 海军 研究 协会 USNI 网站 报道 美国 海军陆战队 作战 发展 司令部 MarineCorpsCombatDevelopmentCommand 发布 一份 官方 新闻稿 美国 海军陆战队 司令 戴维 伯杰 上将 谈及 发布 2020 2030 美国 海军陆战队 十年 春生 纲领 这项 半后 改革 计划 于本周 公布 这位 今年年初 上任 海军陆战队 司令 上任 推动 美国 海军陆战队 这支 军中 之军 转型 工作 新闻稿 这位 上将 直言不讳 计划 目的 2030 对抗中国 同行 正规军 对手 美国 海军陆战队 作战 发展 司令部 一份 新闻稿 海军陆战队 后勤 战略 优化 2019 夏天 海军陆战队 时代 力量 编组 设计 重点 调整 陆战队 能力 塑造 海军陆战队 海战 联合 部队 作战 贡献 部队 进退 补上 伯杰 上将 谈及 海军陆战队 部队 改编 计划 美国 海军陆战队 2030 军力 结构 可行性研究 美国 海军陆战队 计划 裁撤 麾下 重型 部队 坦克 重型 火炮 海军陆战队 计划 削减 海军陆战队 师属 坦克 炮兵营 减到 步兵营 减到 水面舰艇 载具 减到 总共 裁撤 12000 人员 182000 名额 人员 航空 兵力 海军陆战队 计划 裁撤 264 鱼鹰 MV 中队 462 重型 运输 直升机中队 469 攻击 直升机 F35 中队 数量 中队 机数 架变 意味着 未来 海军陆战队 裁撤 部队 现有 部队 编制 体制 将会 改变 海军陆战队 计划 缩编 三三制 步兵营 三三制 步兵营 步兵营 缩小 依托 远征 基地 投送 规模 美国 海军陆战队 步兵营 步兵连 装备 迫击炮 火器 火力 营部 防务 新闻 海军陆战队 裁撤 步兵 分队 计划 未来 党委政府 卡宾枪 计划 有无 冲突 海军陆战队 希望 改革 步兵 传统 三三制 步兵 改为 装备 无人机 先进 射手 卡宾枪 党委政府 计划 试验 裁撤 新增 海军陆战队 计划 新增 三个 独立 远程 火箭炮 装备 海马 火箭炮 美国 海军陆战队 海马 斯营 意味着 美国 海军陆战队 将会 火箭炮 放到 师级 海军陆战队 计划 新编 独立 导弹发射营 装备 有人 无人 导弹 发射 用于 区域拒止 主岛 夺控 未来 海军陆战队 计划 列装 JLTV 底盘 导弹 打击 系统 美国 海军 学院 新闻网 报道 美国 海军陆战队 计划 无人驾驶 JLTV 轻型 机动 越野车 携带 美军 大量列 NSM 先进 反舰导弹 具备 机动性 隐蔽性 车辆 中国 武装力量 难以 搜索 攻击 导弹 发射系统 火箭炮 侦察 无人 打击 系统 应对 未来 多域 作战 需求 海军陆战队 司令 亚当 伯格 接受 谈话 时称 军事 能力 中国 加大 威胁	3
环球网 报道 徐璐明 近日 美俄 战机 地中海 上空 频繁 上演 近距离 交锋 俄军 战斗机 天内 两次 拦截 美军 8A 反潜巡逻机 拦截 俄军 机都 逼近 距离 美机 美方 指责 俄军 飞行员 专业 商业 内幕 网站 报道 美国 海军 俄罗斯 战斗机 地中海 上空 一架 美国 军机 拦截 这是 美国 海军 中称 时间 一架 俄罗斯 战斗机 两次 一架 地中海 国际 空域 上空 执行 美国 海军 8A 反潜巡逻机 过程 持续 分钟 美军 战机 第一次 拦截 接受 第二次 拦截 却是 专业 美国 第六 舰队 发布 俄军 战斗机 美军 8A 反潜巡逻机 靠近 画面 美军 危险 空中 拦截 过程 俄罗斯 战斗机 8A 巡逻机 前方 高速 机动 美俄 战机 之间 距离 缩减到 英尺 762 之内 美国 军机 陷入 战机 尾流 8A 巡逻机 下降 高度 俄机 距离 美国 海军 指责 俄罗斯 飞行员 危及 两架 飞机 飞行 这是 四天 之内 美俄 战机 地中海 上空 近距离 交锋 俄罗斯 战斗机 地中海 上空 抵近 拦截 美军 8A 反潜机 两机 距离 英尺 762 美国 海军 第六 舰队 一份 声明 中说 距离 飞机 前方 英尺 762 高速 倒转 机动 飞行 invertedmaneuver 飞行员 机组人员 陷入 危险 之中 互动 报道 8A 机组人员 报告 两机 距离 过近 美军 机组人员 感受 尾流 波动 俄军 拦截 飞行 时间 持续 分钟 美国 海军 声明 补充 不负责任	5
环球网 军事 报道 澳大利亚 国防部 确保 遵守 COVID 相关 政府 取消 该国 南部 漆黑 2020 PitchBlack2020 军事演习 演习 澳大利亚 举办 大规模 空战 演习 两年 澳大利亚 国防部 尚未 2021 筹办 演习 取消 2022 两年 周期 马健威 演习 澳大利亚 防务 杂志 网站 报道 日本航空自卫队 派出 战斗机 首次 参加 这场 大型 演习 第一次 海外 无果 而终 澳大利亚 漆黑 2020 演习 宣传教育 首页 截图 新冠 疫情 澳大利亚 国防部 评估 演习 方案 澳大利亚 防务 指出 推进 想法 变化 日至 澳大利亚 南部 空域 COVID 新冠 病毒 疫情 澳大利亚 国内 地区 实施 措施 澳大利亚 国防部 发言人 确保 遵守 COVID 相关 政府 保护 人员 家人 社区 漆黑 2020 演习 政府 建议 澳大利亚 国防部 措施 确保 人员 社区 健康 致力于 遵守 公共卫生 准则 敏感度 降低 COVID 传播 公共 卫生部门 合作 确保 采取措施 降低 传播 据介绍 漆黑 2020 演习 澳大利亚 空军 计划 法国 巴布亚新几内亚 日本 马来西亚 新西兰 新加坡 泰国 美国 等国 空军 人员 战机 参加 早前 澳大利亚 国防部 发布 信息 显示 参加 演习 国家 战机 澳大利亚 皇家 空军 FA 系列 大黄蜂 超级 大黄蜂 EA 18G 咆哮 电子战 飞机 法国 空军 阵风战斗机 美国空军 新加坡 空军 战斗机 泰国 皇家 空军 JAS 鹰狮 战斗机 印尼 空军 首次 参加 演习 日本航空自卫队 战斗机 公布 信息 参加 上届 演习 印度空军 印度 派出 先进 30MKI 火焰喷射器 战斗机 参加 日本 战斗机 资料 军事观察 人士 关注 日本 首次 派出 参加 演习 战斗机 日本 较强 进攻 作战能力 便携式 战斗机 观察 表现 机会 战机 第一次 海外 无果 而终	1
外交部 发言人 华春莹 外交部 例行 记者会 回答 外媒 中印 军长 会谈 提问 中印 边防部队 实际行动 军长 会谈 三轮 军长 会谈 共识 进一步 基础 推动 边境 西段 一线 部队 落实工作 脱离 接触 缓和 边境 局势 进展 希望 印方 中方 相向 而行 第四次 落实 达成 共识 维护 边境地区 和平 安宁 总台 央视 申杨 靳丹妮	5
环球网 军事 报道 共同社 报道 日本 防卫 日为 航空 自卫队 战机 后续 机型 开发 防卫 装备 新设 负责 开发 装备 开发 岗位 部门 参与 这一 总额 预计 达数 万亿日元 规模 项目 机身 设计 展开讨论 日本 防卫 河野 太郎 打算 日本 主导 开发 前提 年内 美国 英国 共同开发 报道 下一代 战机 日本政府 2018 制定 中期 防卫 整备 计划 写明 国际 合作 纳入 视野 着手 我国 主导 开发 是因为 国内 战机 防卫 产业 相关 技术 担忧 日本 单独 开发 成本 高涨 日本 战后 主导 战机 开发 他国 技术 层面 合作 必不可少 共同开发 候选 国家 河野 英国 美国 美国 洛克希德 马丁 公司 提出 隐形 登陆作战 战机 国际上 混合型 方案 美国波音公司 英国 任 BAE 系统 公司 有意 参与 韩国 稳定性 计划 防卫 装备 性能 包括 确保 美国 相互 隐形 干扰 作战 电子战 能力 搭载 足够 数量 导弹 确保 改装 自由度 实施 改装 装备 开发 航空 自卫队 相当于 少将 担任 正式 日本 预计 战斗机 德国 2035 年度 陆续 退役 战机 共同开发 美方 机密 未公开 一部分 机体 信息 日方 自行 修理	6
人民网 北京 日电 今天下午 国防部 例行 记者会 国防部 新闻局 局长 国防部 新闻 发言人 吴谦 大校 回答 海警 转隶 相关 提问 海警 队伍 整体 划归 武警部队 调整 领导 指挥 体制 统一 履行 海上 维权 执法 职责 海警 属性 改变 中方 相关 涉海 原则立场 近期 海警 转隶 工作 请问 海警 划归 武警部队 将会 领导 机制 执行 海上 维权 执法 变化 特别是在 钓鱼岛 巡航 维权 改变 吴谦 海警 队伍 转隶 武警部队 组建 中国人民武装警察部队 海警 总队 中国 海警 海警 队伍 整体 划归 武警部队 领导 指挥 统一 履行 海上 维权 执法 职责 改变 海警 属性 相关 涉海 原则立场 中方 一如既往 地同 主权国家 谈判 磋商 和平解决 争议 各国 执法 合作	3
环球网 军事 报道 美国 NewAtlas 网站 报道 马丁 公司 近日 新墨西哥州 白沙 靶场 最新 研发 精确打击 导弹 PrSM 第二次 试射 导弹 以极 高精度 命中 目标 导弹 美国陆军 开发 下一代 远程 导弹系统 从洛马 公司 研制 机动 火箭炮 HIMARS 第二次 试射 导弹 飞行 180 公里 准确 命中 目标 导弹 2019 首次 试射 导弹 飞行 240 公里 公司 第二次 试射 圆满成功 预定 目标 测试 验证 武器系统 打击能力 飞行 轨迹 射程 系统 性能 火箭炮 系统 集成度 验证 精确打击 导弹 PrSM 采用 模块化 设计 M270多管火箭炮 M142 机动 火箭炮 系统 HIMARS 兼容 M270多管火箭炮 射程 公里 精确打击 导弹 PrSM 射程 499 公里 具备 精准 打击能力	6
观察者 网王 世纯 美国 海军 时报 报道 美国 海军 信心 理由 开除 康德罗 加级 巡洋舰 菲律宾海 舰长 埃里 霍夫曼 此前 菲律宾海 巡洋舰 弗吉尼亚州 约克 海军 码头 漏油 船长 15000 污染 菲律宾海 舰长 埃里 霍夫曼 图源 海军 时报 资料 菲律宾海 巡洋舰 美军 官员 早先 解释 开除 埃里 霍夫曼 原因 美国 大西洋 舰队 水面 作战 部队 发言人 里奇 林艾维 一封 邮件 因素 海军 高层 丧失 引述 信心 一名 舰长 解职 埃里 霍夫曼 美国 海军 罕见 女性 巡洋舰 舰长 2019 接管 这艘 巡洋舰 霍夫曼 拒绝 解职 一事 作出 回应 发言人 里奇 林艾维 格洛斯特 证实 霍夫曼 调查 调查 细节 发表 评论 合适 美国 海军 研究 学会 新闻网 USNInews 莱特岛 报道 菲律宾海 巡洋舰 当天 弗吉尼亚州 约克 海军 码头 发生 漏油 事故 总共 泄露 4000 加仑 超过 15000 燃油 污染 这艘 巡洋舰 停靠在 位于 约克城 海军 武器 码头 装载 弹药 美国 海军 派遣 马里兰州 约克城 海军基地 一支 海军 燃油 回收 队伍 着手 事故 部署 柔性 围栏 另一名 泄漏 燃油 拦截 大部分 水面 燃油 控制 截止 燃油 回收 美国 海军 官员 雷伊泰 事故 环境 影响 微乎其微 水面 残留 油料 预计 很快 消散	2
本报 新德里 日电 基荣 时间 为期 两周 携手 2019 印陆军 反恐 联合训练 印度 梅加拉 亚邦 西隆 乌姆罗伊 军营 圆满 落下 帷幕 中印 两军 联训 阅兵场 结训 仪式 中印 两军 联训 分队 按计划 联合 反恐 实兵演练 反恐 实兵演练 中印 联合 打击 恐怖组织 背景 乌姆罗伊 训练场 村庄 实施 暴恐 活动 恐怖分子 封控 搜索 营救 人质 追捕 逃敌 课目 中方 观摩 团团长 李世忠 2007 中印 两军 携手 反恐 联合训练 两军间 交流 增信 释疑 两国 携手 打击 恐怖主义 坚定 决心	1
